Time,Pos_x,Pos_y,Pos_z,Rot_x,Rot_y,Rot_z,Rot_w,Wind Speed,Wind Direction
1900-01-01T21:06:32,-1821.293945,1127.988037,899.848511,-0.595413,0.268137,0.329428,0.681955,2.91,307.0
1900-01-01T21:06:33,-1885.924194,1125.110840,756.555725,-0.583727,0.238499,0.312552,0.710417,2.97,344.0
1900-01-01T21:06:34,-1914.488159,1155.791016,758.676880,-0.507893,0.375823,0.410119,0.657727,2.63,4.0
1900-01-01T21:06:35,-1827.270630,1174.980225,813.002319,-0.371036,0.552373,0.571510,0.480200,2.15,6.0
1900-01-01T21:06:36,-1868.082764,1224.406982,814.330566,-0.383656,0.583500,0.582214,0.416368,2.6,27.0
1900-01-01T21:06:37,-1855.565796,1221.263062,863.312683,-0.321893,0.633063,0.656311,0.254698,3.59,45.0
1900-01-01T21:06:38,-1815.989624,1195.513428,912.240295,-0.180028,0.649823,0.693206,0.254531,3.0,40.0
1900-01-01T21:06:39,-1775.449707,1111.508667,992.206055,-0.126264,0.613574,0.741885,0.239148,3.73,39.0
1900-01-01T21:06:40,-1898.653320,1158.265991,1007.787720,-0.184079,0.646755,0.716996,0.183682,1.38,42.0
1900-01-01T21:06:41,-2096.492188,1157.930542,1021.691345,-0.167489,0.647482,0.713252,0.209728,3.46,50.0
1900-01-01T21:06:42,-2194.811768,1146.783447,1063.045532,-0.175989,0.643449,0.708442,0.230458,2.52,49.0
1900-01-01T21:06:43,-2267.420410,1145.066040,1124.086304,-0.175423,0.648181,0.705406,0.226916,0.99,20.0
1900-01-01T21:06:44,-2322.601562,1241.892944,1158.029297,-0.178152,0.669472,0.695126,0.192011,1.35,39.0
1900-01-01T21:06:45,-2422.869385,1274.135254,1195.783936,-0.199147,0.674616,0.673861,0.226153,4.29,40.0
1900-01-01T21:06:46,-2483.281738,1228.181274,1200.187378,-0.184586,0.671366,0.686843,0.208431,2.81,33.0
1900-01-01T21:06:47,-2438.643311,1153.897705,1207.142212,-0.163969,0.656041,0.710063,0.196304,3.17,61.0
1900-01-01T21:06:48,-2327.812500,1104.053467,1182.981934,-0.111695,0.658329,0.727495,0.157732,2.59,50.0
1900-01-01T21:06:49,-2278.364258,1128.752930,1174.992432,-0.115899,0.638263,0.749955,0.129444,3.48,41.0
1900-01-01T21:06:50,-2638.044189,1131.007446,1282.269653,-0.146827,0.632410,0.731183,0.209454,3.7,46.0
1900-01-01T21:06:51,-2805.717529,1115.321533,1353.955688,-0.186603,0.608684,0.731180,0.245068,3.99,50.0
1900-01-01T21:06:52,-2892.600098,1110.640137,1396.436768,-0.173854,0.614040,0.736393,0.224622,0.95,21.0
1900-01-01T21:06:53,-2901.246338,1191.687134,1407.874390,-0.146957,0.646299,0.724047,0.190938,2.41,37.0
1900-01-01T21:06:54,-2888.025635,1301.584106,1404.327881,-0.149565,0.668496,0.695478,0.216918,3.96,46.0
1900-01-01T21:06:55,-2900.016113,1187.245728,1386.983032,-0.151009,0.628528,0.737363,0.196073,4.08,48.0
1900-01-01T21:06:56,-2891.020996,1114.096069,1370.384277,-0.162589,0.637713,0.727428,0.194257,2.41,39.0
1900-01-01T21:06:57,-2865.639160,1141.698975,1382.978027,-0.185211,0.654376,0.705168,0.200567,1.15,40.0
1900-01-01T21:06:58,-2785.613770,1174.539307,1322.826416,-0.192744,0.656541,0.699139,0.207385,1.2,37.0
1900-01-01T21:06:59,-2723.055420,1171.546021,1345.603394,-0.152047,0.660079,0.714876,0.173577,2.84,30.0
